,new_code,Code,Code_lower,Count_lower,Title,Title_lower,Year_of_workshop,quarter,Org,Country,Big_Idea,age,gender,Repeat,Notes,content,Content1,Content2,RIGHT
710,710,e3635,e3635,1,1,timeless,2018,c,iTalk Coffee,Vietnam,Time,21,,1,creative self attending Hanoian,"early 2000s 
‘’can i buy you a drink?’’ 
that’s how they started talking 
mr wick and ms pamela 
the two loneliest people on earth. 
ever since that night 
they’ve been together 
moments, counted by minutes. 
lovers at first sight. 
the year is 2018 
or maybe later. 
every time they meet 
pamela always has a gift 
a kickass sword from the renaissance age 
a part of a bomb from a jungle of vietnam 
everytime they meet 
she seems a bit older 
while he stays the same. 
the year is 5059 
wick is wandering around the corner of 5th street 
seems to be the only one left 
after the atomic war 
until he sees a wild daffodil blooming 
in the middle of a collapsed building 
coming with a humble note 
‘’can i buy you a drink?’’","early 2000s 
‘’can i buy you a drink?’’ 
that’s how they started talking 
mr wick and ms pamela 
the two loneliest people on earth. 
ever since that night 
they’ve been together 
moments, counted by minutes. 
lovers at first sight. 
the year is 2018 
or maybe later. 
every time they meet 
pamela always has a gift 
a kickass sword from the renaissance age 
a part of a bomb from a jungle of vietnam 
everytime they meet 
she seems a bit older 
while he stays the same. 
the year is 5059 
wick is wandering around the corner of 5th street 
seems to be the only one left 
after the atomic war 
until he sees a wild daffodil blooming 
in the middle of a collapsed building 
coming with a humble note 
‘’can i buy you a drink?’’","early 2000s 
‘’can i buy you a drink?’’ 
that’s how they started talking 
mr wick and ms pamela 
the two loneliest people on earth. 
ever since that night 
they’ve been together 
moments, counted by minutes. 
lovers at first sight. 
the year is 2018 
or maybe later. 
every time they meet 
pamela always has a gift 
a kickass sword from the renaissance age 
a part of a bomb from a jungle of vietnam 
everytime they meet 
she seems a bit older 
while he stays the same. 
the year is 5059 
wick is wandering around the corner of 5th street 
seems to be the only one left 
after the atomic war 
until he sees a wild daffodil blooming 
in the middle of a collapsed building 
coming with a humble note 
‘’can i buy you a drink?’’",1
711,711,e5895,e5895,1,1,yoghurt,2018,c,iTalk Coffee,Vietnam,Time,28,,1,creative self attending Hanoian,"if the memory has flavor 
mine is yogurt. 
i came to kindergarten by grandfather bike 
and breakfast with yogurt 
appease by yogurt 
headache or anything 
is headed by it 
the sweetness and happiness 
is it grandfathers or yogurts? 
i don’t know.","if the memory has flavor 
mine is yogurt. 
i came to kindergarten by grandfather bike 
and breakfast with yogurt 
appease by yogurt 
headache or anything 
is headed by it 
the sweetness and happiness 
is it grandfathers or yogurts? 
i don’t know.","if the memory has flavor 
mine is yogurt. 
i came to kindergarten by grandfather bike 
and breakfast with yogurt 
appease by yogurt 
headache or anything 
is headed by it 
the sweetness and happiness 
is it grandfathers or yogurts? 
i don’t know.",1
712,712,e2471,e2471,1,1,my friend,2018,c,iTalk Coffee,Vietnam,Time,0,,1,creative self attending Hanoian,"my parents, my teacher said to me that 
he is very important 
i agree with that 
sometimes, he is like a boss 
he forces me to hurry up 
sometimes, he is like a teacher 
he teaches me to respect each meaningful moment. 
sometimes, he is like a doctor 
he helps me reduce my pain 
sometimes, he is like a librarian 
he allows me to go to the past and see the books of my life 
i can see him everywhere. 
i respect him and wait for him beside me 
i keep him in my watch. 
he is my friend, ‘’time.’’","my parents, my teacher said to me that 
he is very important 
i agree with that 
sometimes, he is like a boss 
he forces me to hurry up 
sometimes, he is like a teacher 
he teaches me to respect each meaningful moment. 
sometimes, he is like a doctor 
he helps me reduce my pain 
sometimes, he is like a librarian 
he allows me to go to the past and see the books of my life 
i can see him everywhere. 
i respect him and wait for him beside me 
i keep him in my watch. 
he is my friend, ‘’time.’’","my parents, my teacher said to me that 
he is very important 
i agree with that 
sometimes, he is like a boss 
he forces me to hurry up 
sometimes, he is like a teacher 
he teaches me to respect each meaningful moment. 
sometimes, he is like a doctor 
he helps me reduce my pain 
sometimes, he is like a librarian 
he allows me to go to the past and see the books of my life 
i can see him everywhere. 
i respect him and wait for him beside me 
i keep him in my watch. 
he is my friend, ‘’time.’’",1
713,713,e5283,e5283,1,1,a journey within,2020,0,West Covina HS,US,Time,18,,1,Youth Advocacy Club,"a different place 
a new page to mark 
with my travel book as my only companion, 
i leave the past behind 
i brush over the stitching of the book’s bind, 
its orange string looking odd among the brown cover 
daring to look inside the pages, 
the memories become fresh within my mind 
a past full of scribbles 
has become fully formed words 
packed within sentences 
building a story of my life 
my thumb rests upon a page 
the last one i have filled out 
while some memories felt smooth and nostalgic 
this one felt rough and cold 
i climbed through each letter 
i fought with each familiar face i had tried to forget 
the weather was peculiar that day as i read that page 
as it began to rain upon the words i read, 
the setting around me stayed dry 
and although the journey within that page was painful 
i do not regret my story","a different place 
a new page to mark 
with my travel book as my only companion, 
i leave the past behind 
i brush over the stitching of the book’s bind, 
its orange string looking odd among the brown cover 
daring to look inside the pages, 
the memories become fresh within my mind 
a past full of scribbles 
has become fully formed words 
packed within sentences 
building a story of my life 
my thumb rests upon a page 
the last one i have filled out 
while some memories felt smooth and nostalgic 
this one felt rough and cold 
i climbed through each letter 
i fought with each familiar face i had tried to forget 
the weather was peculiar that day as i read that page 
as it began to rain upon the words i read, 
the setting around me stayed dry 
and although the journey within that page was painful 
i do not regret my story","a different place 
a new page to mark 
with my travel book as my only companion, 
i leave the past behind 
i brush over the stitching of the book’s bind, 
its orange string looking odd among the brown cover 
daring to look inside the pages, 
the memories become fresh within my mind 
a past full of scribbles 
has become fully formed words 
packed within sentences 
building a story of my life 
my thumb rests upon a page 
the last one i have filled out 
while some memories felt smooth and nostalgic 
this one felt rough and cold 
i climbed through each letter 
i fought with each familiar face i had tried to forget 
the weather was peculiar that day as i read that page 
as it began to rain upon the words i read, 
the setting around me stayed dry 
and although the journey within that page was painful 
i do not regret my story",1
714,714,e7083,e7083,1,1,i’ve never been to the philippines,2020,0,West Covina HS,US,Time,16,,1,Youth Advocacy Club,"it’s been years since we’ve been to the philippines. 
these familiar faces are not mine. 
i saw the strangest things, 
palm trees with red, leathery leaves. 
i saw an oasis of life, 
a bunch of white journal paper, 
an orange floppy disk ready for use. 
how do i feel? 
not too young, not too old. 
an omniscient being, yet capable of experiencing nostalgic feeling, 
a distant family member yet invited to the summertime quinceanera. 
take me back to the philippines. 
as lost as i am, these souvenirs were passed down for a reason. 
bought with a purpose, 
meant to be kept safe. 
shared, only to illuminate one’s memory. 
take me back to a land 
of no recollection, no demand 
does that land exist? 
not alone it won’t. 
i wish to write in that journal, use that floppy disk 
to make it first person, step onto the dance floor. 
i’ll make it mine.","it’s been years since we’ve been to the philippines. 
these familiar faces are not mine. 
i saw the strangest things, 
palm trees with red, leathery leaves. 
i saw an oasis of life, 
a bunch of white journal paper, 
an orange floppy disk ready for use. 
how do i feel? 
not too young, not too old. 
an omniscient being, yet capable of experiencing nostalgic feeling, 
a distant family member yet invited to the summertime quinceanera. 
take me back to the philippines. 
as lost as i am, these souvenirs were passed down for a reason. 
bought with a purpose, 
meant to be kept safe. 
shared, only to illuminate one’s memory. 
take me back to a land 
of no recollection, no demand 
does that land exist? 
not alone it won’t. 
i wish to write in that journal, use that floppy disk 
to make it first person, step onto the dance floor. 
i’ll make it mine.","it’s been years since we’ve been to the philippines. 
these familiar faces are not mine. 
i saw the strangest things, 
palm trees with red, leathery leaves. 
i saw an oasis of life, 
a bunch of white journal paper, 
an orange floppy disk ready for use. 
how do i feel? 
not too young, not too old. 
an omniscient being, yet capable of experiencing nostalgic feeling, 
a distant family member yet invited to the summertime quinceanera. 
take me back to the philippines. 
as lost as i am, these souvenirs were passed down for a reason. 
bought with a purpose, 
meant to be kept safe. 
shared, only to illuminate one’s memory. 
take me back to a land 
of no recollection, no demand 
does that land exist? 
not alone it won’t. 
i wish to write in that journal, use that floppy disk 
to make it first person, step onto the dance floor. 
i’ll make it mine.",1
715,715,e8451,e8451,1,1,what lurks behind you in the restroom,2020,0,West Covina HS,US,Dream,14,,1,Youth Advocacy Club,"drowsily & softly, 
i walk into the restroom. 
tiredly & sleepily, 
the darkness consumes. 
i shut my eyes since there’s nothing to stare, 
but what if there’s a monster lurking so near. 
i open my eyes, looking behind 
only to find there’s nothing in sight. 
i sigh looking hopelessly at my reflection 
only to freeze up, “what if it’s hidden?” 
if i turn around, will i see a demon or cute hare? 
if i turn around, will i laugh or be scared? 
if i turn around and an unwelcomed’s around 
feet stuck to the ground, will i stay to be bound? 
i snapped out of my haze. 
frowning, i stare intensively in the mirror. 
there’s no monster in the restroom. 
i make my way to bed as i shut my eyes 
and then... 
...click clack click... 
eyes shot open 
there’s no monster in the restroom. 
there’s no monster in the restroom. 
there’s no monster in the restroom. 
... 
but what about under the bed?","drowsily & softly, 
i walk into the restroom. 
tiredly & sleepily, 
the darkness consumes. 
i shut my eyes since there’s nothing to stare, 
but what if there’s a monster lurking so near. 
i open my eyes, looking behind 
only to find there’s nothing in sight. 
i sigh looking hopelessly at my reflection 
only to freeze up, “what if it’s hidden?” 
if i turn around, will i see a demon or cute hare? 
if i turn around, will i laugh or be scared? 
if i turn around and an unwelcomed’s around 
feet stuck to the ground, will i stay to be bound? 
i snapped out of my haze. 
frowning, i stare intensively in the mirror. 
there’s no monster in the restroom. 
i make my way to bed as i shut my eyes 
and then... 
...click clack click... 
eyes shot open 
there’s no monster in the restroom. 
there’s no monster in the restroom. 
there’s no monster in the restroom. 
... 
but what about under the bed?","drowsily & softly, 
i walk into the restroom. 
tiredly & sleepily, 
the darkness consumes. 
i shut my eyes since there’s nothing to stare, 
but what if there’s a monster lurking so near. 
i open my eyes, looking behind 
only to find there’s nothing in sight. 
i sigh looking hopelessly at my reflection 
only to freeze up, “what if it’s hidden?” 
if i turn around, will i see a demon or cute hare? 
if i turn around, will i laugh or be scared? 
if i turn around and an unwelcomed’s around 
feet stuck to the ground, will i stay to be bound? 
i snapped out of my haze. 
frowning, i stare intensively in the mirror. 
there’s no monster in the restroom. 
i make my way to bed as i shut my eyes 
and then... 
...click clack click... 
eyes shot open 
there’s no monster in the restroom. 
there’s no monster in the restroom. 
there’s no monster in the restroom. 
... 
but what about under the bed?",1
716,716,e7075,e7075,1,1,"two sides, same coin",2020,0,West Covina HS,US,Dream,18,,1,Youth Advocacy Club,"in a fight between hope and despair, 
who could win in the end? 
a building of hope can be knocked down 
if the presence of despair is around for too long, 
but if hope is willing to be persistent, 
it will not fall down. 
if hope is willing to outwait the desperation, 
it will not waver. 
for both hope and despair have a time limit 
and they share an end. 
all that matters is which one is able 
to outlast the other in battle 
because where there is despair 
there will always be hope","in a fight between hope and despair, 
who could win in the end? 
a building of hope can be knocked down 
if the presence of despair is around for too long, 
but if hope is willing to be persistent, 
it will not fall down. 
if hope is willing to outwait the desperation, 
it will not waver. 
for both hope and despair have a time limit 
and they share an end. 
all that matters is which one is able 
to outlast the other in battle 
because where there is despair 
there will always be hope","in a fight between hope and despair, 
who could win in the end? 
a building of hope can be knocked down 
if the presence of despair is around for too long, 
but if hope is willing to be persistent, 
it will not fall down. 
if hope is willing to outwait the desperation, 
it will not waver. 
for both hope and despair have a time limit 
and they share an end. 
all that matters is which one is able 
to outlast the other in battle 
because where there is despair 
there will always be hope",1
717,717,e2446,e2446,1,Book Hangover,book hangover,2020,0,West Covina HS,US,Dream,18,,1,Youth Advocacy Club,"a girl who always stuck her nose so far in a book 
dreaming about the characters 
falling in love with the characters 
bravely going into their own adventures 
a girl dreaming about having the same love story 
dreaming about going on epic journeys 
wishing that she could also experience all the things she read 
however, she had her nose stuck so far in a book that led her to darkness 
darkness that led her to miss out on her own story 
miss out on all the adventures she could have had 
she had her nose stuck so far in a book that she didn’t realize that 
time had gone by fast","a girl who always stuck her nose so far in a book 
dreaming about the characters 
falling in love with the characters 
bravely going into their own adventures 
a girl dreaming about having the same love story 
dreaming about going on epic journeys 
wishing that she could also experience all the things she read 
however, she had her nose stuck so far in a book that led her to darkness 
darkness that led her to miss out on her own story 
miss out on all the adventures she could have had 
she had her nose stuck so far in a book that she didn’t realize that 
time had gone by fast","a girl who always stuck her nose so far in a book 
dreaming about the characters 
falling in love with the characters 
bravely going into their own adventures 
a girl dreaming about having the same love story 
dreaming about going on epic journeys 
wishing that she could also experience all the things she read 
however, she had her nose stuck so far in a book that led her to darkness 
darkness that led her to miss out on her own story 
miss out on all the adventures she could have had 
she had her nose stuck so far in a book that she didn’t realize that 
time had gone by fast",1
718,718,eBDtJ,ebdtj,1,My Ambition Has Come,my ambition has come,2016,0,Anjali House,Cambodia,Place,16,M,1,Khmer young person from an impoverished family,"i look to the sky the sky is blue 
i want to go but i don’t know 
how to go. 
can you tell me what can i do? 
now you tell me how to go. 
now i came to the blue sky 
now i am happy i know how to see 
i finish looking i want to 
go home.","i look to the sky the sky is blue 
i want to go but i don’t know 
how to go. 
can you tell me what can i do? 
now you tell me how to go. 
now i came to the blue sky 
now i am happy i know how to see 
i finish looking i want to 
go home.","i look to the sky the sky is blue 
i want to go but i don’t know 
how to go. 
can you tell me what can i do? 
now you tell me how to go. 
now i came to the blue sky 
now i am happy i know how to see 
i finish looking i want to 
go home.",1
719,719,NhoDN,nhodn,1,My Fishing Life,my fishing life,2016,0,Anjali House,Cambodia,Place,16,F,1,Khmer young person from an impoverished family,"some people make houses on the river 
but they feel happy with the place they live. 
every day they make a living by fishing and selling vegetables for supporting their family 
happy life, not a rich person 
but is happy, floating boat. 
fishing is a good job for all people 
who live in the water.","some people make houses on the river 
but they feel happy with the place they live. 
every day they make a living by fishing and selling vegetables for supporting their family 
happy life, not a rich person 
but is happy, floating boat. 
fishing is a good job for all people 
who live in the water.","some people make houses on the river 
but they feel happy with the place they live. 
every day they make a living by fishing and selling vegetables for supporting their family 
happy life, not a rich person 
but is happy, floating boat. 
fishing is a good job for all people 
who live in the water.",1
720,720,dkLft,dklft,1,My Important People,my important people,2016,0,Anjali House,Cambodia,Place,13,M,1,Khmer young person from an impoverished family,"in the evening 
i sleep on the bed 
but my eyes don’t close 
i was so scared and frightened because my parents 
are not here. 
i wake up, walk through 
the forest to find a safe place. i turn to right and left 
but i can’t see them. 
but i can see animals, 
the birds fly with their family 
and make the sound so happy. i was so worried and miss my  parents. 
i try to walk 
and it is lucky to see lots of people but i don’t know what they are. i look around 
and sleep on the grass 
i’m so tired and i close 
my eyes. 
suddenly i hear the sound of 
someone call me. 
i’m so happy it’s my parents. 
i run and hug them 
so i can find 
my safe place.","in the evening 
i sleep on the bed 
but my eyes don’t close 
i was so scared and frightened because my parents 
are not here. 
i wake up, walk through 
the forest to find a safe place. i turn to right and left 
but i can’t see them. 
but i can see animals, 
the birds fly with their family 
and make the sound so happy. i was so worried and miss my  parents. 
i try to walk 
and it is lucky to see lots of people but i don’t know what they are. i look around 
and sleep on the grass 
i’m so tired and i close 
my eyes. 
suddenly i hear the sound of 
someone call me. 
i’m so happy it’s my parents. 
i run and hug them 
so i can find 
my safe place.","in the evening 
i sleep on the bed 
but my eyes don’t close 
i was so scared and frightened because my parents 
are not here. 
i wake up, walk through 
the forest to find a safe place. i turn to right and left 
but i can’t see them. 
but i can see animals, 
the birds fly with their family 
and make the sound so happy. i was so worried and miss my  parents. 
i try to walk 
and it is lucky to see lots of people but i don’t know what they are. i look around 
and sleep on the grass 
i’m so tired and i close 
my eyes. 
suddenly i hear the sound of 
someone call me. 
i’m so happy it’s my parents. 
i run and hug them 
so i can find 
my safe place.",1
721,721,tQPPy,tqppy,1,My Imagination,my imagination,2016,0,Anjali House,Cambodia,Place,15,M,1,Khmer young person from an impoverished family,"am very happy to be myself 
have a good family 
go to study 
have good people around me 
they are friendly 
they help me be a good person 
give a lot of love 
make me warm. 
am very lucky 
that i am not going to be a refugee. 
beautiful rainbow 
safe earth 
friendly planet 
community is developing. 
they are in my imagination forever.","am very happy to be myself 
have a good family 
go to study 
have good people around me 
they are friendly 
they help me be a good person 
give a lot of love 
make me warm. 
am very lucky 
that i am not going to be a refugee. 
beautiful rainbow 
safe earth 
friendly planet 
community is developing. 
they are in my imagination forever.","am very happy to be myself 
have a good family 
go to study 
have good people around me 
they are friendly 
they help me be a good person 
give a lot of love 
make me warm. 
am very lucky 
that i am not going to be a refugee. 
beautiful rainbow 
safe earth 
friendly planet 
community is developing. 
they are in my imagination forever.",1
722,722,wLUVN,wluvn,1,Earth is a Good Place for All  People,earth is a good place for all  people,2016,0,Anjali House,Cambodia,Place,16,F,1,Khmer young person from an impoverished family,"earth is good 
for all people to live 
and do everything 
but sometime safe 
and sometime not safe. 
do something together 
make a friendship 
in the whole world 
no stereotype in religion 
just make a friendship and be happy together. 
religion can make a broken 
friendship 
have war 
people are not safe 
not enough food to eat 
and change the place where they live. 
i love my country, to see 
tourists come and visit 
the temples in my province 
and in other provinces in my country. 
but i do not like my government 
because they give a place to 
others to live who do 
bad things in my country 
and come here illegally. 
i feel so sad to see that.","earth is good 
for all people to live 
and do everything 
but sometime safe 
and sometime not safe. 
do something together 
make a friendship 
in the whole world 
no stereotype in religion 
just make a friendship and be happy together. 
religion can make a broken 
friendship 
have war 
people are not safe 
not enough food to eat 
and change the place where they live. 
i love my country, to see 
tourists come and visit 
the temples in my province 
and in other provinces in my country. 
but i do not like my government 
because they give a place to 
others to live who do 
bad things in my country 
and come here illegally. 
i feel so sad to see that.","earth is good 
for all people to live 
and do everything 
but sometime safe 
and sometime not safe. 
do something together 
make a friendship 
in the whole world 
no stereotype in religion 
just make a friendship and be happy together. 
religion can make a broken 
friendship 
have war 
people are not safe 
not enough food to eat 
and change the place where they live. 
i love my country, to see 
tourists come and visit 
the temples in my province 
and in other provinces in my country. 
but i do not like my government 
because they give a place to 
others to live who do 
bad things in my country 
and come here illegally. 
i feel so sad to see that.",1
723,723,QayWz,qaywz,1,Everywhere is Good,everywhere is good,2016,0,Anjali House,Cambodia,Place,16,F,1,Khmer young person from an impoverished family,"go to the sky, is high 
everything is quiet 
scary, worry 
about the people 
waiting back home 
everywhere is good 
go with me and see together 
a rainbow, sky, water 
all are good 
some places 
are safe but some people do not protect 
the villagers, do not care about them.","go to the sky, is high 
everything is quiet 
scary, worry 
about the people 
waiting back home 
everywhere is good 
go with me and see together 
a rainbow, sky, water 
all are good 
some places 
are safe but some people do not protect 
the villagers, do not care about them.","go to the sky, is high 
everything is quiet 
scary, worry 
about the people 
waiting back home 
everywhere is good 
go with me and see together 
a rainbow, sky, water 
all are good 
some places 
are safe but some people do not protect 
the villagers, do not care about them.",1
724,724,igexB,igexb,1,Refugee,refugee,2016,0,Anjali House,Cambodia,Place,18,F,1,Khmer young person from an impoverished family,"refugee people escape from the war. 
people try to run away to find safe place. 
some people die in the war, 
some people get hurt -- 
body, brain 
because some of them lost their family. 
they have nothing to eat. 
some children are very thin. 
they have only a big head and only bones. 
their eyes become bigger, bigger and frightened, i wish that they live happy again.","refugee people escape from the war. 
people try to run away to find safe place. 
some people die in the war, 
some people get hurt -- 
body, brain 
because some of them lost their family. 
they have nothing to eat. 
some children are very thin. 
they have only a big head and only bones. 
their eyes become bigger, bigger and frightened, i wish that they live happy again.","refugee people escape from the war. 
people try to run away to find safe place. 
some people die in the war, 
some people get hurt -- 
body, brain 
because some of them lost their family. 
they have nothing to eat. 
some children are very thin. 
they have only a big head and only bones. 
their eyes become bigger, bigger and frightened, i wish that they live happy again.",1
725,725,RAAxg,raaxg,1,My Safe Places and My Loved Places,my safe places and my loved places,2016,0,Anjali House,Cambodia,Place,16,F,1,Khmer young person from an impoverished family,"home is my place 
it makes me safe 
because of my parents 
i want to 
see a rainbow 
with friends 
and we are swimming 
in the river 
when we finish 
we eat mangoes, rice, fried chicken 
and then we show 
our pictures to parents 
so we are happy 
together.","home is my place 
it makes me safe 
because of my parents 
i want to 
see a rainbow 
with friends 
and we are swimming 
in the river 
when we finish 
we eat mangoes, rice, fried chicken 
and then we show 
our pictures to parents 
so we are happy 
together.","home is my place 
it makes me safe 
because of my parents 
i want to 
see a rainbow 
with friends 
and we are swimming 
in the river 
when we finish 
we eat mangoes, rice, fried chicken 
and then we show 
our pictures to parents 
so we are happy 
together.",1
726,726,ViVek,vivek,1,My Safe Place is My House,my safe place is my house,2016,0,Anjali House,Cambodia,Place,14,F,1,Khmer young person from an impoverished family,"i live in a house with my family 
i have protection from all the scary things 
they protect me from all strange people that 
i don't know much about. 
i'm very happy to live and stay with 
my safe family. 
all days i don't worry when i go somewhere 
because they always take care of me 
all the time. 
i wish that i could live and stay with 
my safe family forever 
and i don't want them to go away from me 
i think that i will get lonely and 
frightened all the time.","i live in a house with my family 
i have protection from all the scary things 
they protect me from all strange people that 
i don't know much about. 
i'm very happy to live and stay with 
my safe family. 
all days i don't worry when i go somewhere 
because they always take care of me 
all the time. 
i wish that i could live and stay with 
my safe family forever 
and i don't want them to go away from me 
i think that i will get lonely and 
frightened all the time.","i live in a house with my family 
i have protection from all the scary things 
they protect me from all strange people that 
i don't know much about. 
i'm very happy to live and stay with 
my safe family. 
all days i don't worry when i go somewhere 
because they always take care of me 
all the time. 
i wish that i could live and stay with 
my safe family forever 
and i don't want them to go away from me 
i think that i will get lonely and 
frightened all the time.",1
727,727,HXoeu,hxoeu,1,Life as a Person,life as a person,2016,0,Anjali House,Cambodia,Place,15,F,1,Khmer young person from an impoverished family,"live like a person 
can't live alone 
people need love 
and they do need feeling 
and i think they also need communication. 
love is two things 
it's a tear warehouse 
and also it's a smile too. 
people have a brain and they can use it 
with their imagination 
people have magic they can go everywhere they want by their  brain. 
and also people have their two helpers with them happiness and sadness are their helpers 
people have them everywhere 
if they are happy they will smile 
but if their sadness is high 
their brains will be up-side-down 
so make it better! 
the last thing is 
please think that nobody 
can use your brain better than you. 
so let's think!","live like a person 
can't live alone 
people need love 
and they do need feeling 
and i think they also need communication. 
love is two things 
it's a tear warehouse 
and also it's a smile too. 
people have a brain and they can use it 
with their imagination 
people have magic they can go everywhere they want by their  brain. 
and also people have their two helpers with them happiness and sadness are their helpers 
people have them everywhere 
if they are happy they will smile 
but if their sadness is high 
their brains will be up-side-down 
so make it better! 
the last thing is 
please think that nobody 
can use your brain better than you. 
so let's think!","live like a person 
can't live alone 
people need love 
and they do need feeling 
and i think they also need communication. 
love is two things 
it's a tear warehouse 
and also it's a smile too. 
people have a brain and they can use it 
with their imagination 
people have magic they can go everywhere they want by their  brain. 
and also people have their two helpers with them happiness and sadness are their helpers 
people have them everywhere 
if they are happy they will smile 
but if their sadness is high 
their brains will be up-side-down 
so make it better! 
the last thing is 
please think that nobody 
can use your brain better than you. 
so let's think!",1
728,728,DgBGG,dgbgg,1,Life of People,life of people,2016,0,Anjali House,Cambodia,Place,14,M,1,Khmer young person from an impoverished family,"in that one day 
i feel so sad 
when i see them 
that have war 
don't have something such as a safe house 
they are always thinking about that 
don't have family and every thing 
if i were like them 
i feel alone 
i want to be 
a strong soldier 
a smart person 
and a good leader 
to talk to each other 
how to fight the enemies that have evil 
now don't have war 
all young cambodian people don't take a good time to do something wrong try to study 
when you are young 
start thinking 
future and past.","in that one day 
i feel so sad 
when i see them 
that have war 
don't have something such as a safe house 
they are always thinking about that 
don't have family and every thing 
if i were like them 
i feel alone 
i want to be 
a strong soldier 
a smart person 
and a good leader 
to talk to each other 
how to fight the enemies that have evil 
now don't have war 
all young cambodian people don't take a good time to do something wrong try to study 
when you are young 
start thinking 
future and past.","in that one day 
i feel so sad 
when i see them 
that have war 
don't have something such as a safe house 
they are always thinking about that 
don't have family and every thing 
if i were like them 
i feel alone 
i want to be 
a strong soldier 
a smart person 
and a good leader 
to talk to each other 
how to fight the enemies that have evil 
now don't have war 
all young cambodian people don't take a good time to do something wrong try to study 
when you are young 
start thinking 
future and past.",1
729,729,mFCtE,mfcte,1,Boat is the Best,boat is the best,2016,0,Anjali House,Cambodia,Place,17,M,1,Khmer young person from an impoverished family,"i see the village 
that has a boat 
trees and a house 
the house is near 
to the water. 
some houses are small some houses are big 
there was no bridge 
across the water 
when you want to go 
you go by boat. 
that village has only one boat no cars 
no motos 
when you want to go 
you go by boat 
the boat is good 
to help you 
across the water. 
but it's okay 
you go by boat 
the boat is safe.","i see the village 
that has a boat 
trees and a house 
the house is near 
to the water. 
some houses are small some houses are big 
there was no bridge 
across the water 
when you want to go 
you go by boat. 
that village has only one boat no cars 
no motos 
when you want to go 
you go by boat 
the boat is good 
to help you 
across the water. 
but it's okay 
you go by boat 
the boat is safe.","i see the village 
that has a boat 
trees and a house 
the house is near 
to the water. 
some houses are small some houses are big 
there was no bridge 
across the water 
when you want to go 
you go by boat. 
that village has only one boat no cars 
no motos 
when you want to go 
you go by boat 
the boat is good 
to help you 
across the water. 
but it's okay 
you go by boat 
the boat is safe.",1
730,730,oNHtz,onhtz,1,The Test of Life,the test of life,2017,0,Anjali House,Cambodia,Bridges,16,F,2,Khmer young person from an impoverished family,"life is a test, a test that the god gives us. 
we must pass, pass that test. 
we need to break, break the obstacles 
to graduate, graduate to our goal. 
there is a river, a river of hell 
under the bridge, the bridge of life. 
we must be brave, brave for our life. 
if you don’t trust yourself, yourself will kill you. 
we all need help, help from all of you. 
we are one, one on one way. 
we are happy, happy to pass the fire of life. 
we are with you, with you for your future. 
a bright heaven, heaven you want 
in front of you. you must go. 
we stay with you until we’re gone.","life is a test, a test that the god gives us. 
we must pass, pass that test. 
we need to break, break the obstacles 
to graduate, graduate to our goal. 
there is a river, a river of hell 
under the bridge, the bridge of life. 
we must be brave, brave for our life. 
if you don’t trust yourself, yourself will kill you. 
we all need help, help from all of you. 
we are one, one on one way. 
we are happy, happy to pass the fire of life. 
we are with you, with you for your future. 
a bright heaven, heaven you want 
in front of you. you must go. 
we stay with you until we’re gone.","life is a test, a test that the god gives us. 
we must pass, pass that test. 
we need to break, break the obstacles 
to graduate, graduate to our goal. 
there is a river, a river of hell 
under the bridge, the bridge of life. 
we must be brave, brave for our life. 
if you don’t trust yourself, yourself will kill you. 
we all need help, help from all of you. 
we are one, one on one way. 
we are happy, happy to pass the fire of life. 
we are with you, with you for your future. 
a bright heaven, heaven you want 
in front of you. you must go. 
we stay with you until we’re gone.",1
731,731,ujTEJ,ujtej,1,The Friendship,the friendship,2017,0,Anjali House,Cambodia,Bridges,14,M,1,Khmer young person from an impoverished family,"friendship is a bridge 
that i really need the most, 
is the person that i trust. 
those are important. 
at school you have a teacher. 
she always teaches you the good thing 
so i just bring my feeling 
to get into the class. 
at home i have a family 
that makes me feel happy. 
sometimes you feel sad and they help you. 
my life is like walking on a bridge. 
sometime you have a bit of an obstacle, 
but people help you solve it all 
and you can cross it easily.","friendship is a bridge 
that i really need the most, 
is the person that i trust. 
those are important. 
at school you have a teacher. 
she always teaches you the good thing 
so i just bring my feeling 
to get into the class. 
at home i have a family 
that makes me feel happy. 
sometimes you feel sad and they help you. 
my life is like walking on a bridge. 
sometime you have a bit of an obstacle, 
but people help you solve it all 
and you can cross it easily.","friendship is a bridge 
that i really need the most, 
is the person that i trust. 
those are important. 
at school you have a teacher. 
she always teaches you the good thing 
so i just bring my feeling 
to get into the class. 
at home i have a family 
that makes me feel happy. 
sometimes you feel sad and they help you. 
my life is like walking on a bridge. 
sometime you have a bit of an obstacle, 
but people help you solve it all 
and you can cross it easily.",1
732,732,fSqfD,fsqfd,1,Don’t Be Scared,don’t be scared,2017,0,Anjali House,Cambodia,Bridges,14,F,1,Khmer young person from an impoverished family,"come along with me, 
don’t be scared of what you 
will find. 
go up into the sky, 
don’t be shy, go and 
connect your relationships. 
walking across the river 
you will find your parent, 
and the heaven will protect 
you from evil or demons.","come along with me, 
don’t be scared of what you 
will find. 
go up into the sky, 
don’t be shy, go and 
connect your relationships. 
walking across the river 
you will find your parent, 
and the heaven will protect 
you from evil or demons.","come along with me, 
don’t be scared of what you 
will find. 
go up into the sky, 
don’t be shy, go and 
connect your relationships. 
walking across the river 
you will find your parent, 
and the heaven will protect 
you from evil or demons.",1
